video_id,label,frames,label_id,shape,format
1,Doing other things,37,0,"(100, 176)",JPEG
11,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
20,Doing other things,37,0,"(100, 176)",JPEG
31,Stop Sign,37,14,"(100, 176)",JPEG
36,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
42,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
59,Stop Sign,37,14,"(100, 176)",JPEG
62,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
69,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
75,Doing other things,37,0,"(100, 176)",JPEG
76,Doing other things,37,0,"(100, 176)",JPEG
85,Sliding Two Fingers Down,37,10,"(100, 100)",JPEG
89,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
112,Doing other things,37,0,"(100, 176)",JPEG
118,Doing other things,37,0,"(100, 176)",JPEG
121,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
125,Doing other things,37,0,"(100, 176)",JPEG
141,Stop Sign,37,14,"(100, 176)",JPEG
145,Stop Sign,37,14,"(100, 176)",JPEG
159,Stop Sign,37,14,"(100, 176)",JPEG
173,Stop Sign,37,14,"(100, 176)",JPEG
176,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
184,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
187,Doing other things,37,0,"(100, 176)",JPEG
207,Stop Sign,37,14,"(100, 176)",JPEG
223,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
242,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
259,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
274,Doing other things,37,0,"(100, 176)",JPEG
280,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
305,Doing other things,37,0,"(100, 176)",JPEG
330,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
332,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
350,Doing other things,37,0,"(100, 176)",JPEG
370,Doing other things,37,0,"(100, 176)",JPEG
383,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
415,Doing other things,37,0,"(100, 176)",JPEG
457,Doing other things,37,0,"(100, 176)",JPEG
487,Doing other things,37,0,"(100, 176)",JPEG
499,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
517,Doing other things,37,0,"(100, 176)",JPEG
542,Doing other things,37,0,"(100, 132)",JPEG
545,Doing other things,37,0,"(100, 176)",JPEG
547,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
548,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
564,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
577,Stop Sign,37,14,"(100, 176)",JPEG
592,Doing other things,37,0,"(100, 132)",JPEG
596,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
597,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
622,Stop Sign,37,14,"(100, 132)",JPEG
640,Stop Sign,37,14,"(100, 176)",JPEG
641,Stop Sign,37,14,"(100, 176)",JPEG
664,Doing other things,37,0,"(100, 176)",JPEG
675,Doing other things,37,0,"(100, 176)",JPEG
692,Doing other things,37,0,"(100, 176)",JPEG
696,Doing other things,37,0,"(100, 176)",JPEG
698,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
700,Doing other things,37,0,"(100, 176)",JPEG
702,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
712,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
729,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
738,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
744,Stop Sign,37,14,"(100, 176)",JPEG
751,Doing other things,37,0,"(100, 176)",JPEG
754,Stop Sign,37,14,"(100, 176)",JPEG
755,Stop Sign,37,14,"(100, 132)",JPEG
756,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
784,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
799,Stop Sign,37,14,"(100, 176)",JPEG
803,Doing other things,37,0,"(100, 176)",JPEG
806,Doing other things,37,0,"(100, 176)",JPEG
811,Doing other things,37,0,"(100, 176)",JPEG
